IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : KING LIBRARY,1/3/2023 0308,1/3/2023 0308,1/3/2023 0325,2023-000001,CLOSED
SEX OFFENSE,CITY OF OXFORD : SOUTHPOINTE PKWY,1/4/2023 0939,1/1/2023 2000,1/1/2023 2200,2023-000002,CLOSED. REFERRED TO OTHER LE AGENCY
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : SYMMES HALL,1/4/2023 1447,1/4/2023 1440,1/4/2023 1440,2023-000003,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : PEFFER MEMORIAL PARK,1/5/2023 1223,11/15/2022 0000,1/5/2023 1223,2023-000004,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : PSYCHOLOGY BLDG,1/6/2023 1316,1/6/2023 1316,1/6/2023 1316,2023-000005,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : RECREATIONAL SPORTS CENTER,1/6/2023 1808,1/6/2023 1808,1/6/2023 1808,2023-000006,CLOSED
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : MARCUM HOTEL AND CONFERENCE CENTER,1/8/2023 1112,1/8/2023 0000,1/8/2023 0900,2023-000007,OPEN
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : MARCUM HOTEL AND CONFERENCE CENTER,1/8/2023 1112,1/8/2023 0000,1/8/2023 0900,2023-000007,OPEN
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : MAPLESTREET STATION,1/10/2023 2203,1/10/2023 2203,1/10/2023 2203,2023-000008,CLOSED
TELECOMMUNICATIONS HARASSMENT,OTHER JURISDICTION,1/12/2023 1158,1/11/2023 2211,1/11/2023 2215,2023-000009,CLOSED. REFERRED TO OTHER LE AGENCY
