IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
TRAFFIC LAW VIOLATION : OPERATING A VEHICLE UNDER THE INFLUENCE,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,1/1/2014 0136,1/1/2014 0136,1/1/2014 0136,2014-000001,CLOSED.  CLEARED BY ARREST
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,1/1/2014 1119,1/1/2014 1119,1/1/2014 1119,2014-000002,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : WELLS HALL,1/2/2014 1116,12/23/2013 1700,12/30/2013 1100,2014-000003,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : RECREATIONAL SPORTS CENTER,1/2/2014 2030,1/2/2014 1800,1/2/2014 2015,2014-000004,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/3/2014 1025,1/3/2014 1025,1/3/2014 1025,2014-000005,CLOSED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : MAPLESTREET STATION,1/5/2014 0149,1/5/2014 0220,1/5/2014 0220,2014-000006,CLOSED.  CLEARED BY SUMMONS
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,1/5/2014 1049,1/3/2014 1700,1/5/2014 1000,2014-000007,CLOSED
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/5/2014 1141,1/3/2014 1700,1/5/2014 1141,2014-000008,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : ENGINEERING BLDG,1/6/2014 0129,1/6/2014 0129,1/6/2014 0129,2014-000009,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : ECOLOGY RESEARCH CENTER,1/6/2014 0840,1/6/2014 0840,1/6/2014 0840,2014-000010,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : ART BLDG,1/7/2014 0830,1/7/2014 0830,1/7/2014 0830,2014-000011,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,1/7/2014 0853,1/7/2014 0853,1/7/2014 0853,2014-000012,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : MCGUFFEY HALL,1/7/2014 1411,11/27/2013 1430,12/23/2013 1430,2014-000013,CLOSED
CRIMINAL TRESPASS,MIAMI UNIVERSITY : OXFORD CAMPUS : WILSON HALL,1/7/2014 1630,1/2/2014 1830,1/2/2014 1830,2014-000020,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : HARRIS DINING HALL,1/7/2014 1633,1/7/2014 1633,1/7/2014 1633,2014-000014,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,1/7/2014 1758,1/7/2014 1758,1/7/2014 1758,2014-000015,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,1/7/2014 1830,1/7/2014 1830,1/7/2014 1900,2014-000016,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : OGDEN HALL,1/7/2014 2010,1/7/2014 2010,1/7/2014 2010,2014-000017,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : OGDEN HALL,1/8/2014 0443,1/8/2014 0443,1/8/2014 0443,2014-000018,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : COLE SERVICE BLDG,1/8/2014 0933,1/2/2014 1530,1/6/2014 0830,2014-000019,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : CULINARY SUPPORT CTR,1/8/2014 1333,1/8/2014 0500,1/8/2014 1330,2014-000021,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : PORTER HALL,1/8/2014 1449,1/8/2014 1449,1/8/2014 1449,2014-000022,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : PORTER HALL,1/8/2014 1449,1/8/2014 1449,1/8/2014 1449,2014-000022,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : MARY LYON HALL,1/8/2014 1616,1/8/2014 1616,1/8/2014 1616,2014-000023,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : MARY LYON HALL,1/8/2014 1616,1/8/2014 1616,1/8/2014 1616,2014-000023,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : CAMPUS AVENUE PARKING GARAGE,1/9/2014 1135,1/9/2014 1030,1/9/2014 1135,2014-000024,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : MCKEE HALL,1/9/2014 2200,1/9/2014 2200,1/9/2014 2200,2014-000026,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/10/2014 1343,1/10/2014 1343,1/10/2014 1343,2014-000027,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/10/2014 1344,1/10/2014 1344,1/10/2014 1344,2014-000028,CLOSED
DISORDERLY CONDUCT,CITY OF OXFORD,1/11/2014 0224,1/11/2014 0224,1/11/2014 0224,2014-000029,CLOSED.  CLEARED BY SUMMONS
TRAFFIC CRASH,CITY OF OXFORD : OXFORD TRENTON  RD SR73,1/11/2014 0804,1/11/2014 0802,1/11/2014 0802,2014-000030,CLOSED.  UTT/UTC ISSUED.
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : COLLINS HALL,1/12/2014 0111,1/12/2014 0111,1/12/2014 0111,2014-000031,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : WARFIELD HALL,1/13/2014 1115,1/13/2014 1115,1/13/2014 1113,2014-000032,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : DORSEY HALL,1/13/2014 1204,1/13/2014 1204,1/13/2014 1204,2014-000033,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,1/14/2014 1335,1/10/2014 1615,1/14/2014 1130,2014-000034,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : BRANDON HALL,1/14/2014 1916,1/14/2014 1916,1/14/2014 1916,2014-000035,CLOSED
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : ROUDEBUSH HALL,1/15/2014 0215,1/13/2014 2130,1/15/2014 0200,2014-000036,CLOSED
PROPERTY : DAMAGE,CITY OF OXFORD : MAPLE ST,1/16/2014 0908,1/16/2014 0908,1/16/2014 0908,2014-000037,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : COLE SERVICE BLDG,1/16/2014 1202,1/16/2014 1100,1/16/2014 1100,2014-000038,CLOSED
TRAFFIC CRASH,CITY OF OXFORD : SYCAMORE ST,1/17/2014 0725,1/17/2014 0735,1/17/2014 0735,2014-000039,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,1/17/2014 0935,1/8/2014 0800,1/10/2014 0800,2014-000040,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/17/2014 1330,10/30/2013 2200,10/31/2013 1000,2014-000041,CLOSED
TRAFFIC LAW VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : SHRIVER CENTER,1/17/2014 1541,1/17/2014 1541,1/17/2014 1541,2014-000042,CLOSED.  UTT/UTC ISSUED.
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : KING LIBRARY,1/17/2014 1816,1/17/2014 1816,1/17/2014 1816,2014-000043,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : DORSEY HALL,1/17/2014 2353,1/17/2014 2353,1/18/2014 0020,2014-000044,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : DORSEY HALL,1/18/2014 0154,1/18/2014 0154,1/18/2014 0215,2014-000045,CLOSED
BURGLARY,MIAMI UNIVERSITY : OXFORD CAMPUS : STODDARD HALL,1/18/2014 0307,1/18/2014 0307,1/18/2014 0307,2014-000046,CLOSED.  CLEARED BY ARREST
TRAFFIC LAW VIOLATION,CITY OF OXFORD : SPRING ST,1/18/2014 2228,1/18/2014 2225,1/18/2014 2225,2014-000047,CLOSED.  UTT/UTC ISSUED.
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : PULLEY PAVILLION,1/20/2014 1626,1/20/2014 1626,1/20/2014 1626,2014-000048,CLOSED
PARKING VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : RECYCLING CENTER,1/21/2014 1007,1/21/2014 0000,1/21/2014 0000,2014-000050,CLOSED
TRAFFIC CRASH,CITY OF OXFORD : CHESTNUT ST,1/21/2014 1022,1/21/2014 1022,1/21/2014 1022,2014-000049,CLOSED
