IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
WARRANT SERVICE : WARRANT SERVICE - RECITE,CITY OF OXFORD : COLLEGE AVE,1/3/2022 1808,1/3/2022 1817,1/3/2022 1845,2022-000002,CLOSED.  CLEARED BY SUMMONS
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HEPBURN HALL,1/4/2022 0253,1/4/2022 0253,1/4/2022 0253,2022-000003,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : YOUNG HALL (FKA BEECHWOODS HALL),1/5/2022 2256,1/5/2022 2256,1/5/2022 2256,2022-000004,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : TALLAWANDA HALL,1/6/2022 0921,11/12/2021 0800,12/4/2021 0800,2022-000005,OPEN
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : KING LIBRARY,1/6/2022 1307,1/6/2022 1307,1/6/2022 1308,2022-000006,CLOSED
TELECOMMUNICATIONS HARASSMENT,OTHER JURISDICTION,1/7/2022 1127,12/27/2021 0000,1/4/2022 0000,2022-000008,CLOSED. REFERRED TO COMMUNITY STANDARDS
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : COLE SERVICE BLDG,1/7/2022 1304,1/7/2022 1304,1/7/2022 1304,2022-000009,CLOSED
SUSPICIOUS ACTIVITY,MIAMI UNIVERSITY : OXFORD CAMPUS : EQUESTRIAN CENTER : EQUESTRIAN CENTER STABLES,1/7/2022 1421,1/7/2022 1421,1/7/2022 1421,2022-000010,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : EQUESTRIAN CENTER : EQUESTRIAN CENTER STABLES,1/7/2022 1421,1/7/2022 1421,1/7/2022 1421,2022-000010,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : GOGGIN ICE CENTER,1/7/2022 1725,1/7/2022 1730,1/7/2022 2130,2022-000011,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : PINES LODGE,1/7/2022 2217,1/7/2022 2217,1/7/2022 2217,2022-000012,CLOSED
DOMESTIC VIOLENCE,OXFORD TOWNSHIP,1/8/2022 2127,1/8/2022 2127,1/8/2022 2127,2022-000013,CLOSED
HAZING,OTHER JURISDICTION,1/10/2022 1515,9/25/2021 0900,11/20/2021 1700,2022-000015,CLOSED. REFERRED TO OTHER LE AGENCY
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : PINES LODGE,1/10/2022 1833,1/10/2022 1833,1/10/2022 1833,2022-000016,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : OGDEN HALL,1/11/2022 1718,1/11/2022 1718,1/11/2022 1719,2022-000017,CLOSED
ASSAULT,MIAMI UNIVERSITY : OXFORD CAMPUS,1/12/2022 0939,9/19/2020 0000,1/17/2022 2359,2022-000018,OPEN
INTIMIDATION,MIAMI UNIVERSITY : OXFORD CAMPUS,1/12/2022 0939,9/19/2020 0000,1/17/2022 2359,2022-000018,OPEN
STALKING,MIAMI UNIVERSITY : OXFORD CAMPUS,1/12/2022 0939,9/19/2020 0000,1/17/2022 2359,2022-000018,OPEN
WELFARE CHECK,OTHER JURISDICTION,1/13/2022 1748,1/13/2022 1748,1/13/2022 2118,2022-000019,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,1/14/2022 1539,1/14/2022 1539,1/14/2022 1545,2022-000021,CLOSED
CRIMINAL TRESPASS,MIAMI UNIVERSITY : OXFORD CAMPUS : RECREATIONAL SPORTS CENTER,1/15/2022 0916,1/15/2022 0916,1/15/2022 0916,2022-000022,CLOSED
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : RECREATIONAL SPORTS CENTER,1/15/2022 0916,1/15/2022 0916,1/15/2022 0916,2022-000022,CLOSED
