IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
DISORDERLY CONDUCT,CITY OF OXFORD : CAMPUS AVE,8/20/2013 0058,8/20/2013 0058,8/20/2013 0058,2013-000852,CLOSED.  CLEARED BY SUMMONS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : RECREATIONAL SPORTS CENTER,8/20/2013 0320,8/20/2013 0320,8/20/2013 0320,2013-000853,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : COLLINS HALL,8/20/2013 2228,8/20/2013 2228,8/20/2013 2228,2013-000856,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,8/22/2013 0036,8/22/2013 0036,8/22/2013 0036,2013-000861,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,8/22/2013 0036,8/22/2013 0036,8/22/2013 0036,2013-000861,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,8/22/2013 0036,8/22/2013 0036,8/22/2013 0036,2013-000861,CLOSED.  CLEARED BY ARREST
BURGLARY,MIAMI UNIVERSITY : OXFORD CAMPUS : WELLS HALL,8/22/2013 0825,8/22/2013 0030,8/22/2013 0730,2013-000863,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : SCOTT HALL,8/22/2013 2239,8/22/2013 2239,8/22/2013 2239,2013-000865,CLOSED.  CLEARED BY SUMMONS
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : SCOTT HALL,8/23/2013 0033,8/23/2013 0033,8/23/2013 0033,2013-000868,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : GOOD SAMARITAN,MIAMI UNIVERSITY : OXFORD CAMPUS : SCOTT HALL,8/23/2013 0033,8/23/2013 0033,8/23/2013 0033,2013-000868,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,CITY OF OXFORD : LAWS DR,8/23/2013 0034,8/23/2013 0034,8/23/2013 0034,2013-000867,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : COLLINS HALL,8/23/2013 1413,8/23/2013 1413,8/23/2013 1413,2013-000869,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : COLLINS HALL,8/23/2013 1413,8/23/2013 1413,8/23/2013 1413,2013-000869,CLOSED.  CLEARED BY SUMMONS
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,8/23/2013 1538,8/21/2013 1600,8/23/2013 0800,2013-000870,CLOSED
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : BRANDON HALL,8/24/2013 0106,8/24/2013 0106,8/24/2013 0106,2013-000871,CLOSED.  CLEARED BY SUMMONS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,8/24/2013 0137,8/24/2013 0137,8/24/2013 0137,2013-000872,CLOSED.  CLEARED BY SUMMONS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,8/24/2013 0159,8/24/2013 0159,8/24/2013 0159,2013-000873,CLOSED.  CLEARED BY ARREST
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,8/24/2013 1004,8/21/2013 1600,8/22/2013 1400,2013-000876,CLOSED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : WITHROW COURT,8/28/2013 0343,8/28/2013 0343,8/28/2013 0343,2013-000902,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,CITY OF OXFORD : HIGH ST,8/28/2013 0411,8/28/2013 0411,8/28/2013 0411,2013-000903,CLOSED.  CLEARED BY SUMMONS
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS,8/28/2013 0730,1/1/2012 0000,8/27/2012 0000,2013-000912,OPEN
SEX OFFENSE,OTHER JURISDICTION,8/28/2013 1315,5/18/2009 0001,8/21/2009 2359,2013-000946,CLOSED
